,0,1,2,3,4,5,6,7
"(12, '6,1')",230.61,2.0,,,,,,
"(12, '9,1')",242.61,1.0,,,,,,
"(12, '9,2')",242.61,1.0,,,,,,
"(12, '15,4')",259.41,,,,,,,
"(12, '3,0')",290.82,2.0,,,,,,
"(12, '3,1')",290.82,1.0,,,,,,
"(12, '15,5')",322.23,,,,,,,
"(13, '2,1')",27.53,1.0,1.0,,,,,
"(13, '15,2')",61.66,,,,,,,
"(13, '14,0')",66.56,2.0,,,,,,
"(13, '12,0')",71.36,1.0,,,,,,
"(13, '10,0')",87.53,2.0,,,,,,
"(13, '9,0')",92.33,1.0,,,,,,
"(13, '9,1')",97.77,1.0,1.0,1.0,1.0,,,
"(13, '13,0')",108.02,1.0,,,,,,
"(13, '13,1')",108.02,1.0,,,,,,
"(13, '15,0')",116.07,,,,,,,
"(13, '2,0')",150.2,2.0,,,,,,
"(13, '5,0')",159.57,1.0,,,,,,
"(13, '5,1')",159.57,3.0,,,,,,
"(13, '7,0')",167.25,2.0,,,,,,
"(13, '7,1')",167.25,1.0,,,,,,
"(13, '4,0')",179.07,1.0,,,,,,
"(13, '4,1')",179.07,3.0,,,,,,
"(13, '15,1')",210.27,1.0,1.0,,,,,
"(13, '6,0')",237.63,,,,,,,
"(13, '8,0')",247.81,,,,,,,
"(13, '6,1')",257.99,1.0,,,,,,
"(13, '6,2')",257.99,1.0,,,,,,
"(13, '3,0')",269.81,1.0,,,,,,
"(13, '3,1')",269.81,1.0,,,,,,
"(13, '15,3')",301.22,,,,,,,
"(14, '4,2')",6.43,3.0,3.0,,,,,
"(14, '15,6')",37.63,,,,,,,
"(14, '14,4')",42.43,2.0,,,,,,
"(14, '15,4')",47.23,,,,,,,
"(14, '15,7')",47.58,1.0,,,,,,
"(14, '14,2')",52.38,1.0,2.0,,,,,
"(14, '15,3')",57.18,,,,,,,
"(14, '14,0')",61.98,2.0,1.0,1.0,1.0,1.0,,
"(14, '14,3')",61.98,2.0,,,,,,
"(14, '15,2')",66.78,,,,,,,
"(14, '15,8')",67.17,1.0,,,,,,
"(14, '13,0')",75.22,1.0,1.0,1.0,2.0,,,
"(14, '13,1')",75.22,1.0,,,,,,
"(14, '10,0')",88.3,1.0,,,,,,
"(14, '14,1')",102.04,1.0,,,,,,
"(14, '15,0')",106.84,,,,,,,
"(14, '12,0')",116.44,1.0,,,,,,
"(14, '8,0')",126.04,1.0,,,,,,
"(14, '8,1')",126.04,1.0,,,,,,
"(14, '13,2')",138.57,1.0,,,,,,
"(14, '13,3')",138.57,1.0,,,,,,
"(14, '15,1')",146.62,,,,,,,
"(14, '5,0')",173.02,1.0,,,,,,
"(14, '5,1')",173.02,1.0,,,,,,
"(14, '7,0')",180.7,1.0,,,,,,
"(14, '7,1')",180.7,1.0,,,,,,
"(14, '4,0')",192.52,1.0,,,,,,
"(14, '4,1')",192.52,1.0,,,,,,
"(14, '11,0')",213.48,2.0,,,,,,
"(14, '11,1')",213.48,1.0,,,,,,
"(14, '15,5')",228.13,,,,,,,
"(14, '6,0')",255.49,2.0,,,,,,
"(14, '6,1')",255.49,1.0,,,,,,
"(14, '3,0')",267.31,1.0,,,,,,
"(14, '3,1')",267.31,2.0,,,,,,
"(14, '15,9')",298.72,,,,,,,
"(15, '13,0')",29.02,2.0,,,,,,
"(15, '15,3')",37.07,,,,,,,
"(15, '12,0')",47.72,2.0,,,,,,
"(15, '5,1')",64.52,1.0,,,,,,
"(15, '2,1')",73.89,1.0,1.0,3.0,1.0,,,
"(15, '5,0')",83.26,2.0,,,,,,
"(15, '5,2')",83.26,3.0,1.0,,,,,
"(15, '7,0')",90.94,2.0,,,,,,
"(15, '7,1')",94.09,2.0,,,,,,
"(15, '12,1')",105.91,1.0,,,,,,
"(15, '15,2')",115.51,,,,,,,
"(15, '14,1')",120.31,2.0,,,,,,
"(15, '10,0')",133.23,2.0,,,,,,
"(15, '14,0')",146.15,1.0,,,,,,
"(15, '15,0')",150.95,,,,,,,
"(15, '2,0')",185.08,2.0,,,,,,
"(15, '4,0')",191.54,1.0,,,,,,
"(15, '4,1')",191.54,1.0,,,,,,
"(15, '11,0')",212.5,2.0,,,,,,
"(15, '11,1')",212.5,1.0,,,,,,
"(15, '15,1')",227.15,,,,,,,
"(15, '6,0')",254.51,2.0,,,,,,
"(15, '6,1')",254.51,1.0,,,,,,
"(15, '3,0')",266.33,1.0,,,,,,
"(15, '3,1')",266.33,1.0,,,,,,
"(15, '15,4')",297.74,,,,,,,
"(16, '10,0')",22.98,2.0,2.0,2.0,2.0,,,
"(16, '15,0')",40.45,1.0,,,,,,
"(16, '14,0')",45.25,2.0,,,,,,
"(16, '14,1')",45.25,2.0,,,,,,
"(16, '12,0')",50.05,,,,,,,
"(16, '10,1')",113.27,1.0,,,,,,
"(16, '10,2')",117.63,1.0,1.0,1.0,,,,
"(16, '14,2')",130.55,1.0,,,,,,
"(16, '15,1')",135.35,,,,,,,
"(16, '13,0')",143.4,2.0,,,,,,
"(16, '12,1')",147.73,1.0,,,,,,
"(16, '12,2')",147.73,2.0,,,,,,
"(16, '15,2')",157.33,,,,,,,
"(16, '7,0')",178.29,1.0,,,,,,
"(16, '7,1')",178.29,1.0,,,,,,
"(16, '4,0')",190.11,1.0,,,,,,
"(16, '4,1')",190.11,1.0,,,,,,
"(16, '11,0')",211.07,1.0,,,,,,
"(16, '11,1')",211.07,1.0,,,,,,
"(16, '15,3')",225.72,,,,,,,
"(16, '6,0')",253.08,2.0,,,,,,
"(16, '6,1')",253.08,1.0,,,,,,
"(16, '3,0')",264.9,2.0,,,,,,
"(16, '3,1')",264.9,1.0,,,,,,
"(16, '15,4')",296.31,,,,,,,
